Country,Year,Population_actual,Population_predicted
Afghanistan,1995,19446,19424
Afghanistan,2000,22462,21488
Afghanistan,2005,26335,23551
Afghanistan,2010,29121,25615
Afghanistan,2015,32565,27678
Afghanistan,2020,36644,29741
Albania,1995,3159,31805
Albania,2000,3159,33868
Albania,2005,3025,35931
Albania,2010,2987,37995
Albania,2015,3030,40058
Albania,2020,3075,42122
Algeria,1995,28322,44185
Algeria,2000,30639,2762
Algeria,2005,32918,2892
Algeria,2010,35950,3022
Algeria,2015,39543,3151
Algeria,2020,42973,3281
American Samoa,1995,54,3411
American Samoa,2000,58,3541
American Samoa,2005,57,3670
American Samoa,2010,56,3800
American Samoa,2015,55,3930
American Samoa,2020,54,4060
Andorra,1995,64,4189
Andorra,2000,66,4319
Andorra,2005,77,25322
Andorra,2010,85,28055
Andorra,2015,86,30788
Andorra,2020,86,33521
Angola,1995,11000,36254
Angola,2000,12683,38987
Angola,2005,14770,41720
Angola,2010,17043,44453
Angola,2015,19626,47186
Angola,2020,22485,49919
Anguilla,1995,10,52652
Anguilla,2000,12,55385
Anguilla,2005,14,58118
Anguilla,2010,15,42
Anguilla,2015,17,45
Anguilla,2020,19,49
Antigua and Barbuda,1995,69,52
Antigua and Barbuda,2000,76,56
Antigua and Barbuda,2005,82,59
Antigua and Barbuda,2010,87,62
Antigua and Barbuda,2015,93,66
Antigua and Barbuda,2020,99,69
Argentina,1995,35274,72
Argentina,2000,37336,76
Argentina,2005,39182,79
Argentina,2010,41344,82
Argentina,2015,43432,50
Argentina,2020,45379,57
Armenia,1995,3131,64
Armenia,2000,3101,71
Armenia,2005,3085,79
Armenia,2010,3072,86
Armenia,2015,3057,93
Armenia,2020,3022,100
Aruba,1995,80,107
Aruba,2000,90,114
Aruba,2005,97,121
Aruba,2010,105,128
Aruba,2015,113,135
Aruba,2020,120,11049
Australia,1995,17976,12465
Australia,2000,19054,13880
Australia,2005,20233,15296
Australia,2010,21516,16711
Australia,2015,22752,18127
Australia,2020,23939,19542
Austria,1995,8048,20958
Austria,2000,8114,22373
Austria,2005,8315,23789
Austria,2010,8448,25204
Austria,2015,8666,26620
Austria,2020,8860,28035
Azerbaijan,1995,8051,10
Azerbaijan,2000,8464,11
Azerbaijan,2005,8826,12
Azerbaijan,2010,9302,13
Azerbaijan,2015,9781,14
Azerbaijan,2020,10206,15
Bahamas,1995,266,16
Bahamas,2000,283,17
Bahamas,2005,297,18
Bahamas,2010,311,19
Bahamas,2015,325,20
Bahamas,2020,338,21
Bahrain,1995,583,22
Bahrain,2000,655,73
Bahrain,2005,916,76
Bahrain,2010,1181,79
Bahrain,2015,1347,82
Bahrain,2020,1506,85
Bangladesh,1995,121443,88
Bangladesh,2000,132151,91
Bangladesh,2005,144139,94
Bangladesh,2010,156119,97
Bangladesh,2015,168958,100
Bangladesh,2020,169778,103
Barbados,1995,268,106
Barbados,2000,274,109
Barbados,2005,281,32809
Barbados,2010,286,34921
Barbados,2015,291,37033
Barbados,2020,295,39145
Belarus,1995,10205,41257
Belarus,2000,10034,43369
Belarus,2005,9807,45482
Belarus,2010,9681,47594
Belarus,2015,9590,49706
Belarus,2020,9478,51818
Belgium,1995,10156,53930
Belgium,2000,10264,56042
Belgium,2005,10470,58154
Belgium,2010,10866,2982
Belgium,2015,11324,3075
Belgium,2020,11721,3168
Belize,1995,218,3261
Belize,2000,249,3354
Belize,2005,282,3447
Belize,2010,315,3540
Belize,2015,348,3634
Belize,2020,380,3727
Benin,1995,5647,3820
Benin,2000,6620,3913
Benin,2005,7778,4006
Benin,2010,9057,4099
Benin,2015,10449,77
Benin,2020,11957,82
Bermuda,1995,61,87
Bermuda,2000,64,92
Bermuda,2005,66,97
Bermuda,2010,69,103
Bermuda,2015,71,108
Bermuda,2020,72,113
Bhutan,1995,567,118
Bhutan,2000,606,123
Bhutan,2005,655,128
Bhutan,2010,700,133
Bhutan,2015,742,138
Bhutan,2020,783,16993
Bolivia,1995,7375,18110
Bolivia,2000,8196,19226
Bolivia,2005,9073,20343
Bolivia,2010,9948,21459
Bolivia,2015,10801,22576
Bolivia,2020,11640,23693
Bosnia and Herzegovina,1995,3547,24809
Bosnia and Herzegovina,2000,3806,25926
Bosnia and Herzegovina,2005,3894,27043
Bosnia and Herzegovina,2010,3885,28159
Bosnia and Herzegovina,2015,3868,29276
Bosnia and Herzegovina,2020,3836,30392
Botswana,1995,1478,7895
Botswana,2000,1680,8034
Botswana,2005,1841,8174
Botswana,2010,2030,8313
Botswana,2015,2183,8452
Botswana,2020,2313,8592
Brazil,1995,161912,8731
Brazil,2000,174316,8870
Brazil,2005,186021,9010
Brazil,2010,195835,9149
Brazil,2015,204260,9289
Brazil,2020,216016,9428
British Virgin Islands,1995,20,9567
British Virgin Islands,2000,23,7277
British Virgin Islands,2005,26,7808
British Virgin Islands,2010,30,8338
British Virgin Islands,2015,34,8869
British Virgin Islands,2020,38,9399
Brunei,1995,288,9930
Brunei,2000,326,10460
Brunei,2005,362,10991
Brunei,2010,396,11521
Brunei,2015,430,12052
Brunei,2020,465,12582
Bulgaria,1995,8285,13113
Bulgaria,2000,7909,13643
Bulgaria,2005,7612,240
Bulgaria,2010,7392,259
Bulgaria,2015,7187,277
Bulgaria,2020,6967,296
Burkina Faso,1995,9903,314
Burkina Faso,2000,11588,333
Burkina Faso,2005,13904,352
Burkina Faso,2010,16242,370
Burkina Faso,2015,18932,389
Burkina Faso,2020,21978,407
Burundi,1995,5800,426
Burundi,2000,6716,445
Burundi,2005,7789,463
Burundi,2010,9121,628
Burundi,2015,10743,734
Burundi,2020,12632,841
Cambodia,1995,11235,948
Cambodia,2000,12352,1054
Cambodia,2005,13298,1161
Cambodia,2010,14454,1267
Cambodia,2015,15709,1374
Cambodia,2020,16927,1480
Cameroon,1995,13828,1587
Cameroon,2000,15818,1693
Cameroon,2005,18132,1800
Cameroon,2010,20823,1907
Cameroon,2015,23740,110744
Cameroon,2020,26970,120859
Canada,1995,29691,130975
Canada,2000,31100,141090
Canada,2005,32387,151205
Canada,2010,33760,161320
Canada,2015,35100,171435
Canada,2020,36388,181550
Cape Verde,1995,386,191665
Cape Verde,2000,431,201780
Cape Verde,2005,471,211895
Cape Verde,2010,509,222010
Cape Verde,2015,546,232125
Cape Verde,2020,584,263
Cayman Islands,1995,33,268
Cayman Islands,2000,39,273
Cayman Islands,2005,45,279
Cayman Islands,2010,51,284
Cayman Islands,2015,57,290
Cayman Islands,2020,62,295
Central African Republic,1995,3545,300
Central African Republic,2000,3980,306
Central African Republic,2005,4364,311
Central African Republic,2010,4845,317
Central African Republic,2015,5392,322
Central African Republic,2020,5991,328
Chad,1995,6770,9578
Chad,2000,7943,9698
Chad,2005,9401,9818
Chad,2010,10544,9938
Chad,2015,11632,10058
Chad,2020,12756,10177
Chile,1995,14173,10297
Chile,2000,15175,10417
Chile,2005,15980,10537
Chile,2010,16760,10657
Chile,2015,17509,10777
Chile,2020,18187,10897
China,1995,1221056,11017
China,2000,1268302,10200
China,2005,1302285,10380
China,2010,1336681,10560
China,2015,1367486,10739
China,2020,1397026,10919
Colombia,1995,36532,11099
Colombia,2000,38911,11279
Colombia,2005,41488,11459
Colombia,2010,44206,11639
Colombia,2015,46737,11819
Colombia,2020,49085,11999
Comoros,1995,483,12179
Comoros,2000,546,12359
Comoros,2005,624,209
Comoros,2010,707,233
Comoros,2015,781,256
Comoros,2020,847,280
Cook Islands,1995,19,303
Cook Islands,2000,17,326
Cook Islands,2005,14,350
Cook Islands,2010,12,373
Cook Islands,2015,10,397
Cook Islands,2020,9,420
Costa Rica,1995,3445,443
Costa Rica,2000,3883,467
Costa Rica,2005,4209,490
Costa Rica,2010,4517,5625
Costa Rica,2015,4815,6416
Costa Rica,2020,5098,7206
Croatia,1995,4497,7997
Croatia,2000,4411,8787
Croatia,2005,4496,9578
Croatia,2010,4487,10368
Croatia,2015,4465,11159
Croatia,2020,4428,11949
Cuba,1995,10848,12740
Cuba,2000,11072,13530
Cuba,2005,11199,14321
Cuba,2010,11099,15111
Cuba,2015,11032,59
Cuba,2020,10932,61
Curaçao,1995,142,63
Curaçao,2000,134,65
Curaçao,2005,137,67
Curaçao,2010,144,69
Curaçao,2015,149,71
Curaçao,2020,152,73
Cyprus,1995,848,76
Cyprus,2000,920,78
Cyprus,2005,1011,80
Cyprus,2010,1103,82
Cyprus,2015,1190,84
Cyprus,2020,1267,528
Czech Republic,1995,10324,577
Czech Republic,2000,10269,626
Czech Republic,2005,10267,675
Czech Republic,2010,10551,724
Czech Republic,2015,10645,773
Czech Republic,2020,10703,822
Democratic Republic of the Congo,1995,46705,871
Democratic Republic of the Congo,2000,52446,920
Democratic Republic of the Congo,2005,60699,969
Democratic Republic of the Congo,2010,69852,1018
Democratic Republic of the Congo,2015,79376,1067
Democratic Republic of the Congo,2020,89250,1116
Denmark,1995,5233,7002
Denmark,2000,5338,7678
Denmark,2005,5433,8355
Denmark,2010,5516,9031
Denmark,2015,5582,9707
Denmark,2020,5643,10383
Djibouti,1995,554,11059
Djibouti,2000,670,11735
