Country,Year,Population,Population_predicted
Afghanistan,1995,19446,21488
Afghanistan,2000,22462,23551
Afghanistan,2005,26335,25615
Afghanistan,2010,29121,27678
Afghanistan,2015,32565,29741
Afghanistan,2020,36644,31805
Albania,1995,3159,2892
Albania,2000,3159,3022
Albania,2005,3025,3151
Albania,2010,2987,3281
Albania,2015,3030,3411
Albania,2020,3075,3541
Algeria,1995,28322,28055
Algeria,2000,30639,30788
Algeria,2005,32918,33521
Algeria,2010,35950,36254
Algeria,2015,39543,38987
Algeria,2020,42973,41720
American Samoa,1995,54,45
American Samoa,2000,58,49
American Samoa,2005,57,52
American Samoa,2010,56,56
American Samoa,2015,55,59
American Samoa,2020,54,62
Andorra,1995,64,57
Andorra,2000,66,64
Andorra,2005,77,71
Andorra,2010,85,79
Andorra,2015,86,86
Andorra,2020,86,93
Angola,1995,11000,12465
Angola,2000,12683,13880
Angola,2005,14770,15296
Angola,2010,17043,16711
Angola,2015,19626,18127
Angola,2020,22485,19542
Anguilla,1995,10,11
Anguilla,2000,12,12
Anguilla,2005,14,13
Anguilla,2010,15,14
Anguilla,2015,17,15
Anguilla,2020,19,16
Antigua and Barbuda,1995,69,76
Antigua and Barbuda,2000,76,79
Antigua and Barbuda,2005,82,82
Antigua and Barbuda,2010,87,85
Antigua and Barbuda,2015,93,88
Antigua and Barbuda,2020,99,91
Argentina,1995,35274,34921
Argentina,2000,37336,37033
Argentina,2005,39182,39145
Argentina,2010,41344,41257
Argentina,2015,43432,43369
Argentina,2020,45379,45482
Armenia,1995,3131,3075
Armenia,2000,3101,3168
Armenia,2005,3085,3261
Armenia,2010,3072,3354
Armenia,2015,3057,3447
Armenia,2020,3022,3540
Aruba,1995,80,82
Aruba,2000,90,87
Aruba,2005,97,92
Aruba,2010,105,97
Aruba,2015,113,103
Aruba,2020,120,108
Australia,1995,17976,18110
Australia,2000,19054,19226
Australia,2005,20233,20343
Australia,2010,21516,21459
Australia,2015,22752,22576
Australia,2020,23939,23693
Austria,1995,8048,8034
Austria,2000,8114,8174
Austria,2005,8315,8313
Austria,2010,8448,8452
Austria,2015,8666,8592
Austria,2020,8860,8731
Azerbaijan,1995,8051,7808
Azerbaijan,2000,8464,8338
Azerbaijan,2005,8826,8869
Azerbaijan,2010,9302,9399
Azerbaijan,2015,9781,9930
Azerbaijan,2020,10206,10460
Bahamas,1995,266,259
Bahamas,2000,283,277
Bahamas,2005,297,296
Bahamas,2010,311,314
Bahamas,2015,325,333
Bahamas,2020,338,352
Bahrain,1995,583,734
Bahrain,2000,655,841
Bahrain,2005,916,948
Bahrain,2010,1181,1054
Bahrain,2015,1347,1161
Bahrain,2020,1506,1267
Bangladesh,1995,121443,120859
Bangladesh,2000,132151,130975
Bangladesh,2005,144139,141090
Bangladesh,2010,156119,151205
Bangladesh,2015,168958,161320
Bangladesh,2020,169778,171435
Barbados,1995,268,268
Barbados,2000,274,273
Barbados,2005,281,279
Barbados,2010,286,284
Barbados,2015,291,290
Barbados,2020,295,295
Belarus,1995,10205,9698
Belarus,2000,10034,9818
Belarus,2005,9807,9938
Belarus,2010,9681,10058
Belarus,2015,9590,10177
Belarus,2020,9478,10297
Belgium,1995,10156,10380
Belgium,2000,10264,10560
Belgium,2005,10470,10739
Belgium,2010,10866,10919
Belgium,2015,11324,11099
Belgium,2020,11721,11279
Belize,1995,218,233
Belize,2000,249,256
Belize,2005,282,280
Belize,2010,315,303
Belize,2015,348,326
Belize,2020,380,350
Benin,1995,5647,6416
Benin,2000,6620,7206
Benin,2005,7778,7997
Benin,2010,9057,8787
Benin,2015,10449,9578
Benin,2020,11957,10368
Bermuda,1995,61,61
Bermuda,2000,64,63
Bermuda,2005,66,65
Bermuda,2010,69,67
Bermuda,2015,71,69
Bermuda,2020,72,71
Bhutan,1995,567,577
Bhutan,2000,606,626
Bhutan,2005,655,675
Bhutan,2010,700,724
Bhutan,2015,742,773
Bhutan,2020,783,822
Bolivia,1995,7375,7678
Bolivia,2000,8196,8355
Bolivia,2005,9073,9031
Bolivia,2010,9948,9707
Bolivia,2015,10801,10383
Bolivia,2020,11640,11059
Bosnia and Herzegovina,1995,3547,3905
Bosnia and Herzegovina,2000,3806,3940
Bosnia and Herzegovina,2005,3894,3975
Bosnia and Herzegovina,2010,3885,4009
Bosnia and Herzegovina,2015,3868,4044
Bosnia and Herzegovina,2020,3836,4078
Botswana,1995,1478,1459
Botswana,2000,1680,1621
Botswana,2005,1841,1783
Botswana,2010,2030,1944
Botswana,2015,2183,2106
Botswana,2020,2313,2268
Brazil,1995,161912,158772
Brazil,2000,174316,171215
Brazil,2005,186021,183658
Brazil,2010,195835,196100
Brazil,2015,204260,208543
Brazil,2020,216016,220986
British Virgin Islands,1995,20,21
British Virgin Islands,2000,23,23
British Virgin Islands,2005,26,26
British Virgin Islands,2010,30,28
British Virgin Islands,2015,34,31
British Virgin Islands,2020,38,33
Brunei,1995,288,292
Brunei,2000,326,324
Brunei,2005,362,357
Brunei,2010,396,389
Brunei,2015,430,421
Brunei,2020,465,454
Bulgaria,1995,8285,8098
Bulgaria,2000,7909,8011
Bulgaria,2005,7612,7923
Bulgaria,2010,7392,7836
Bulgaria,2015,7187,7748
Bulgaria,2020,6967,7660
Burkina Faso,1995,9903,11683
Burkina Faso,2000,11588,13032
Burkina Faso,2005,13904,14380
Burkina Faso,2010,16242,15729
Burkina Faso,2015,18932,17077
Burkina Faso,2020,21978,18426
Burundi,1995,5800,6978
Burundi,2000,6716,7724
Burundi,2005,7789,8469
Burundi,2010,9121,9215
Burundi,2015,10743,9960
Burundi,2020,12632,10706
Cambodia,1995,11235,11190
Cambodia,2000,12352,12099
Cambodia,2005,13298,13007
Cambodia,2010,14454,13916
Cambodia,2015,15709,14825
Cambodia,2020,16927,15734
Cameroon,1995,13828,15219
Cameroon,2000,15818,16949
Cameroon,2005,18132,18679
Cameroon,2010,20823,20409
Cameroon,2015,23740,22140
Cameroon,2020,26970,23870
Canada,1995,29691,29196
Canada,2000,31100,30714
Canada,2005,32387,32231
Canada,2010,33760,33749
Canada,2015,35100,35267
Canada,2020,36388,36784
Cape Verde,1995,386,402
Cape Verde,2000,431,432
Cape Verde,2005,471,463
Cape Verde,2010,509,494
Cape Verde,2015,546,525
Cape Verde,2020,584,555
Cayman Islands,1995,33,34
Cayman Islands,2000,39,39
Cayman Islands,2005,45,43
Cayman Islands,2010,51,48
Cayman Islands,2015,57,52
Cayman Islands,2020,62,57
Central African Republic,1995,3545,3688
Central African Republic,2000,3980,4061
Central African Republic,2005,4364,4435
Central African Republic,2010,4845,4808
Central African Republic,2015,5392,5181
Central African Republic,2020,5991,5555
Chad,1995,6770,7535
Chad,2000,7943,8332
Chad,2005,9401,9129
Chad,2010,10544,9926
Chad,2015,11632,10723
Chad,2020,12756,11520
Chile,1995,14173,13898
Chile,2000,15175,14804
Chile,2005,15980,15709
Chile,2010,16760,16614
Chile,2015,17509,17520
Chile,2020,18187,18425
China,1995,1221056,1161047
China,2000,1268302,1226610
China,2005,1302285,1292173
China,2010,1336681,1357736
China,2015,1367486,1423299
China,2020,1397026,1488862
Colombia,1995,36532,35595
Colombia,2000,38911,38413
Colombia,2005,41488,41230
Colombia,2010,44206,44048
Colombia,2015,46737,46865
Colombia,2020,49085,49683
Comoros,1995,483,516
Comoros,2000,546,571
Comoros,2005,624,626
Comoros,2010,707,681
Comoros,2015,781,736
Comoros,2020,847,792
Cook Islands,1995,19,16
Cook Islands,2000,17,15
Cook Islands,2005,14,14
Cook Islands,2010,12,13
Cook Islands,2015,10,12
Cook Islands,2020,9,12
Costa Rica,1995,3445,3415
Costa Rica,2000,3883,3747
Costa Rica,2005,4209,4079
Costa Rica,2010,4517,4411
Costa Rica,2015,4815,4743
Costa Rica,2020,5098,5075
Croatia,1995,4497,4417
Croatia,2000,4411,4454
Croatia,2005,4496,4491
Croatia,2010,4487,4527
Croatia,2015,4465,4564
Croatia,2020,4428,4601
Cuba,1995,10848,10308
Cuba,2000,11072,10651
Cuba,2005,11199,10994
Cuba,2010,11099,11337
Cuba,2015,11032,11681
Cuba,2020,10932,12024
Curaçao,1995,142,145
Curaçao,2000,134,146
Curaçao,2005,137,147
Curaçao,2010,144,149
Curaçao,2015,149,150
Curaçao,2020,152,151
Cyprus,1995,848,880
Cyprus,2000,920,936
Cyprus,2005,1011,993
Cyprus,2010,1103,1049
Cyprus,2015,1190,1106
Cyprus,2020,1267,1162
Czech Republic,1995,10324,10314
Czech Republic,2000,10269,10394
Czech Republic,2005,10267,10473
Czech Republic,2010,10551,10553
Czech Republic,2015,10645,10632
Czech Republic,2020,10703,10712
Democratic Republic of the Congo,1995,46705,50406
Democratic Republic of the Congo,2000,52446,56293
Democratic Republic of the Congo,2005,60699,62180
Democratic Republic of the Congo,2010,69852,68066
Democratic Republic of the Congo,2015,79376,73953
Democratic Republic of the Congo,2020,89250,79840
Denmark,1995,5233,5269
Denmark,2000,5338,5349
Denmark,2005,5433,5428
Denmark,2010,5516,5508
Denmark,2015,5582,5588
Denmark,2020,5643,5668
Djibouti,1995,554,547
Djibouti,2000,670,616
Djibouti,2005,667,686
Djibouti,2010,741,755
Djibouti,2015,829,825
Djibouti,2020,922,894
Dominica,1995,72,72
Dominica,2000,71,73
Dominica,2005,73,74
Dominica,2010,73,75
Dominica,2015,74,76
Dominica,2020,75,77
