Year,co2
1950,23144.271000000008
1951,24701.156000000006
1952,25150.900000000005
1953,25873.04400000001
1954,26671.135000000006
1955,29192.52200000002
1956,31105.589000000033
1957,32223.118999999984
1958,33049.12300000001
1959,34551.08299999999
1960,36527.07299999999
1961,36912.39700000001
1962,38416.67599999999
1963,40730.67
1964,42849.456
1965,44752.04100000002
1966,46706.286999999975
1967,48190.68900000001
1968,50820.95900000001
1969,54145.38399999998
1970,58359.897000000026
1971,60744.920999999995
1972,63450.81899999998
1973,66810.29799999994
1974,66714.86400000003
1975,66757.69200000001
1976,70421.13200000001
1977,72126.74300000002
1978,74665.78699999997
1979,76753.46500000004
1980,76520.75100000002
1981,74378.19699999999
1982,73889.81099999999
1983,74492.61100000003
1984,76351.27500000001
1985,79177.888
1986,80133.497
1987,82113.91699999999
1988,84874.61400000003
1989,85979.30500000002
1990,88010.112
1991,88534.589
1992,85683.42900000003
1993,85945.14600000002
1994,85845.10399999998
1995,87252.93699999998
1996,89621.70599999999
1997,89708.39699999998
1998,89286.496
1999,90256.26
2000,92645.114
2001,93621.94299999996
2002,95421.78499999999
2003,99717.473
2004,103831.362
2005,106717.695
2006,109913.34300000001
2007,112697.70400000003
2008,114658.899
2009,112219.35599999999
2010,117872.64700000003
2011,121158.73399999998
2012,123016.392
2013,118657.47780101467
2014,120142.36030045478
2015,121627.24279989535
2016,123112.12529933546
2017,124597.00779877603
2018,126081.8902982166
2019,127566.77279765671
2020,129051.65529709728
2021,130536.53779653739
2022,132021.42029597796
2023,133506.30279541807
2024,134991.18529485865
2025,136476.06779429922
2026,137960.95029373933
2027,139445.8327931799
2028,140930.71529262
2029,142415.59779206058
2030,143900.48029150115
2031,145385.36279094126
2032,146870.24529038183
2033,148355.12778982194
2034,149840.01028926251
2035,151324.89278870262
2036,152809.7752881432
2037,154294.65778758377
2038,155779.54028702388
2039,157264.42278646445
2040,158749.30528590456
2041,160234.18778534513
2042,161719.0702847857
2043,163203.9527842258
2044,164688.83528366638
2045,166173.7177831065
2046,167658.60028254706
2047,169143.48278198717
2048,170628.36528142774
2049,172113.24778086832
2050,173598.13028030843
2051,175083.012779749
2052,176567.8952791891
2053,178052.77777862968
2054,179537.6602780698
2055,181022.54277751036
2056,182507.42527695093
2057,183992.30777639104
2058,185477.1902758316
2059,186962.07277527172
2060,188446.9552747123
2061,189931.83777415287
2062,191416.72027359297
2063,192901.60277303355
2064,194386.48527247366
2065,195871.36777191423
2066,197356.25027135434
2067,198841.1327707949
2068,200326.01527023548
2069,201810.8977696756
2070,203295.78026911616
2071,204780.66276855627
2072,206265.54526799684
2073,207750.42776743742
2074,209235.31026687752
2075,210720.1927663181
2076,212205.0752657582
2077,213689.95776519878
2078,215174.8402646389
2079,216659.72276407946
2080,218144.60526352003
2081,219629.48776296014
2082,221114.3702624007
2083,222599.25276184082
2084,224084.1352612814
2085,225569.0177607215
2086,227053.90026016207
2087,228538.78275960265
2088,230023.66525904275
2089,231508.54775848333
2090,232993.43025792344
2091,234478.312757364
2092,235963.19525680458
2093,237448.0777562447
2094,238932.96025568526
2095,240417.84275512537
2096,241902.72525456594
2097,243387.60775400605
2098,244872.49025344662
2099,246357.3727528872
2100,247842.2552523273
