Year,LandAverageTemperature,land_avg_fahrenheit
1900,8.501583333333333,47.30285
1901,8.541916666666665,47.37545000000001
1902,8.304416666666667,46.94795
1903,8.220166666666668,46.7963
1904,8.090916666666667,46.563649999999996
1905,8.225166666666665,46.80530000000001
1906,8.379083333333334,47.08235
1907,7.947166666666667,46.304899999999996
1908,8.186083333333334,46.73495
1909,8.17825,46.720850000000006
1910,8.223,46.8014
1911,8.177000000000001,46.7186
1912,8.165416666666667,46.697750000000006
1913,8.297749999999999,46.93595
1914,8.5905,47.4629
1915,8.593166666666665,47.4677
1916,8.22525,46.80545000000001
1917,8.023333333333335,46.44200000000001
1918,8.130833333333333,46.6355
1919,8.38225,47.08805
1920,8.35875,47.045750000000005
1921,8.571,47.4278
1922,8.408000000000001,47.1344
1923,8.422166666666666,47.1599
1924,8.506833333333335,47.3123
1925,8.534416666666667,47.36195
1926,8.728833333333332,47.71190000000001
1927,8.522083333333333,47.33975
1928,8.632166666666668,47.5379
1929,8.242416666666665,46.83635
1930,8.633583333333332,47.54045
1931,8.71925,47.69465
1932,8.705250000000001,47.669450000000005
1933,8.33825,47.008849999999995
1934,8.628333333333332,47.531000000000006
1935,8.51575,47.32835
1936,8.554,47.3972
1937,8.698333333333332,47.657000000000004
1938,8.863666666666665,47.9546
1939,8.760333333333334,47.7686
1940,8.764666666666665,47.7764
1941,8.768666666666668,47.78360000000001
1942,8.728416666666666,47.71115
1943,8.755083333333333,47.759150000000005
1944,8.845,47.92099999999999
1945,8.584833333333332,47.4527
1946,8.676916666666665,47.61845
1947,8.797083333333333,47.83474999999999
1948,8.74675,47.74415
1949,8.586749999999999,47.45615000000001
1950,8.365250000000001,47.057449999999996
1951,8.625666666666666,47.526199999999996
1952,8.638250000000001,47.548849999999995
1953,8.873750000000003,47.97275
1954,8.560666666666666,47.4092
1955,8.62625,47.52725
1956,8.279583333333333,46.90325000000001
1957,8.7325,47.718500000000006
1958,8.773750000000001,47.792750000000005
1959,8.732666666666665,47.71880000000001
1960,8.58375,47.45075
1961,8.797666666666666,47.8358
1962,8.745916666666666,47.742650000000005
1963,8.856,47.940799999999996
1964,8.409666666666666,47.137400000000014
1965,8.527416666666667,47.34935000000001
1966,8.599333333333332,47.4788
1967,8.700083333333334,47.660149999999994
1968,8.516333333333334,47.3294
1969,8.595083333333333,47.471149999999994
1970,8.700916666666666,47.66165
1971,8.59925,47.478649999999995
1972,8.499583333333334,47.29925
1973,8.94825,48.10685
1974,8.4675,47.2415
1975,8.744833333333334,47.740700000000004
1976,8.347249999999999,47.02505
1977,8.850249999999999,47.93045000000001
1978,8.692749999999998,47.64695
1979,8.733416666666665,47.72015
1980,8.980333333333334,48.1646
1981,9.165833333333333,48.4985
1982,8.639166666666666,47.5505
1983,9.028166666666666,48.2507
1984,8.691833333333335,47.6453
1985,8.658,47.58440000000001
1986,8.833583333333335,47.90045
1987,8.994416666666668,48.18995
1988,9.201583333333334,48.56285
1989,8.921999999999999,48.059599999999996
1990,9.234166666666667,48.621500000000005
1991,9.179416666666667,48.52295000000001
1992,8.836583333333333,47.905849999999994
1993,8.866583333333333,47.95985000000001
1994,9.038749999999999,48.26975000000001
1995,9.347083333333332,48.824749999999995
1996,9.038916666666667,48.27004999999999
1997,9.202583333333333,48.56465
1998,9.522666666666666,49.14079999999999
1999,9.285083333333333,48.71314999999999
2000,9.201166666666667,48.562099999999994
2001,9.414583333333335,48.94625
2002,9.570416666666667,49.22675000000001
2003,9.525583333333335,49.14605
2004,9.324583333333333,48.78424999999999
2005,9.700916666666666,49.46164999999999
2006,9.532499999999999,49.1585
2007,9.732166666666666,49.5179
2008,9.431750000000001,48.97715
2009,9.505250000000002,49.10945
2010,9.703083333333332,49.46555
2011,9.516,49.128800000000005
2012,9.507333333333333,49.1132
