Year,co2
1950,23144.271000000008
1951,24701.156000000006
1952,25150.900000000005
1953,25873.04400000001
1954,26671.135000000006
1955,29192.52200000002
1956,31105.589000000033
1957,32223.118999999984
1958,33049.12300000001
1959,34551.08299999999
1960,36527.07299999999
1961,36912.39700000001
1962,38416.67599999999
1963,40730.67
1964,42849.456
1965,44752.04100000002
1966,46706.286999999975
1967,48190.68900000001
1968,50820.95900000001
1969,54145.38399999998
1970,58359.897000000026
1971,60744.920999999995
1972,63450.81899999998
1973,66810.29799999994
1974,66714.86400000003
1975,66757.69200000001
1976,70421.13200000001
1977,72126.74300000002
1978,74665.78699999997
1979,76753.46500000004
1980,76520.75100000002
1981,74378.19699999999
1982,73889.81099999999
1983,74492.61100000003
1984,76351.27500000001
1985,79177.888
1986,80133.497
1987,82113.91699999999
1988,84874.61400000003
1989,85979.30500000002
1990,88010.112
1991,88534.589
1992,85683.42900000003
1993,85945.14600000002
1994,85845.10399999998
1995,87252.93699999998
1996,89621.70599999999
1997,89708.39699999998
1998,89286.496
1999,90256.26
2000,92645.114
2001,93621.94299999996
2002,95421.78499999999
2003,99717.473
2004,103831.362
2005,106717.695
2006,109913.34300000001
2007,112697.70400000003
2008,114658.899
2009,112219.35599999999
2010,117872.64700000003
2011,121158.73399999998
2012,123016.392
